name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Swift Dzire VDI,2014,0.042126475212991454,0.061640208502086034,Diesel,Individual,Manual,First Owner,0.557142857142857,0.2093959731543624,0.11220043572984752,0.23694267515923564,5.0
Skoda Rapid 1.5 TDI Ambition,2014,0.03410240380116311,0.05083721111514047,Diesel,Individual,Manual,Second Owner,0.5033333333333333,0.2932885906040268,0.1925925925925926,0.31337579617834393,5.0
Honda City 2017-2020 EXi,2006,0.012838614559818,0.0593101502421566,Petrol,Individual,Manual,Third Owner,0.4214285714285714,0.2929530201342282,0.12309368191721136,0.010191082802547772,5.0
Hyundai i20 Sportz Diesel,2010,0.019558774367224235,0.053802739809596115,Diesel,Individual,Manual,First Owner,0.5476190476190476,0.25906040268456376,0.15577342047930287,0.022929936305732482,5.0
Maruti Swift VXI BSIII,2007,0.010030189565678077,0.05083721111514047,Petrol,Individual,Manual,First Owner,0.38333333333333336,0.22617449664429531,0.15087145969498916,0.008917197452229297,5.0
Hyundai Xcent 1.2 VTVT E Plus,2017,0.041123466286512915,0.019063689388829953,Petrol,Individual,Manual,First Owner,0.4795238095238095,0.19228187919463088,0.13360566448801747,0.13885350318471337,5.0
Maruti Wagon R LXI DUO BSIII,2007,0.006619959215651032,0.07413779371443484,LPG,Individual,Manual,First Owner,0.4119047619047619,0.14664429530201342,0.06726579520697169,0.003821656050955414,5.0
Maruti 800 DX BSII,2001,0.0015046136906104626,0.0021178111347976833,Petrol,Individual,Manual,Second Owner,0.38333333333333336,0.057718120805369116,0.011437908496732041,0.07006369426751592,4.0
Toyota Etios VXD,2011,0.032096385948206026,0.03812780242461626,Diesel,Individual,Manual,First Owner,0.5616666666666666,0.2483221476510067,0.09340958605664489,0.21146496815286622,5.0
Ford Figo Diesel Celebration Edition,2013,0.01705125205102788,0.07159591197633,Diesel,Individual,Manual,First Owner,0.47619047619047616,0.2600671140939598,0.09613289760348585,0.1987261146496815,5.0
Renault Duster 110PS Diesel RxL,2014,0.04714151984538417,0.028807569384898507,Diesel,Individual,Manual,Second Owner,0.45261904761904764,0.2808724832214765,0.20601851851851855,0.310828025477707,5.0
Maruti Zen LX,2005,0.0062187556450596145,0.04236427198812433,Petrol,Individual,Manual,Second Owner,0.4119047619047619,0.12382550335570472,0.07407407407407408,0.09426751592356687,5.0
Maruti Swift Dzire VDi,2009,0.025075323462856222,0.0593101502421566,Diesel,Individual,Manual,Second Owner,0.4595238095238095,0.2093959731543624,0.11192810457516343,0.23694267515923564,5.0
Maruti Wagon R LXI Minor,2009,0.015045234198070793,0.03812780242461626,Petrol,Individual,Manual,Second Owner,0.44999999999999996,0.14664429530201342,0.0931372549019608,0.1019108280254777,5.0
Mahindra KUV 100 mFALCON G80 K8 5str,2016,0.037111430580598744,0.01694545460707592,Petrol,Individual,Manual,First Owner,0.4321428571428571,0.19261744966442954,0.1339869281045752,0.14140127388535031,5.0
Maruti Ertiga SHVS VDI,2016,0.07502516800148766,0.02965486329760012,Diesel,Individual,Manual,Second Owner,0.5838095238095238,0.2093959731543624,0.1516884531590414,0.24968152866242038,7.0
Hyundai i20 1.4 CRDi Asta,2012,0.04714151984538417,0.022452865039636408,Diesel,Individual,Manual,Second Owner,0.5476190476190476,0.25906040268456376,0.15577342047930287,0.022929936305732482,5.0
Maruti Alto LX,2002,0.012036207418635163,0.033891332861108195,Petrol,Individual,Manual,Second Owner,0.469047619047619,0.057718120805369116,0.036764705882352935,0.07388535031847134,5.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,0.06519568052199795,0.04236427198812433,Diesel,Individual,Manual,First Owner,0.5366666666666666,0.25906040268456376,0.15231481481481485,0.27388535031847133,5.0
Mahindra Verito 1.5 D4 BSIII,2011,0.014443428842183668,0.04236427198812433,Diesel,Individual,Manual,Second Owner,0.5,0.2808724832214765,0.08523965141612201,0.1987261146496815,5.0
Honda WR-V i-DTEC VX,2017,0.0922769215369186,0.021181924170583986,Diesel,Individual,Manual,First Owner,0.6071428571428571,0.2932885906040268,0.17919389978213512,0.24968152866242038,5.0
